# MonitorFlux offline place index. GENERATED by script/make_place_index.swift — do not edit.
# Cities/admin names: GeoNames (geonames.org), CC BY 4.0. ZIP centroids: US Census ZCTA
# gazetteer 2025, public domain.
# T timezone-id | A admin1-name | C name aIdx cc lat lon pop tzIdx | Z zip lat lon
A	North
A	West
A	South-West
A	Adamaoua
A	South
A	Yunnan
A	Xinjiang
A	Tibet
A	Gansu
A	Qinghai
A	Sichuan
A	Jiangsu
A	Hainan
A	Guizhou
A	Shandong
A	Shaanxi
A	Chongqing
A	Hunan
A	Henan
A	Shanghai
A	Zhejiang
A	Liaoning
A	Ningxia
A	Hubei
A	Hebei
A	Shanxi
A	Guangdong
A	Fujian
A	Guangxi
A	Jiangxi
A	Anhui
A	Tianjin
A	Inner Mongolia
A	Beijing
A	Jilin
A	Heilongjiang
A	Cundinamarca
A	Valle del Cauca Department
A	Antioquia
A	Casanare Department
A	Meta Department
A	Norte de Santander Department
A	La Guajira Department
A	Caldas Department
A	Santander Department
A	Cesar Department
A	Bolívar
A	Nariño
A	Boyacá
A	Sucre Department
A	Cauca Department
A	Córdoba
A	Huila Department
A	Arauca Department
A	Chocó
A	Atlántico
A	Magdalena Department
A	Risaralda Department
A	San Andres y Providencia
A	Tolima Department
A	Quindío Department
A	Caquetá
A	Putumayo Department
A	Vichada Department
A	Vaupés
A	Amazonas Department
A	Bogota D.C.
A	Guaviare Department
A	Cartago Province
A	San José
A	Limón Province
A	Heredia Province
A	Alajuela Province
A	Puntarenas Province
A	Guanacaste Province
A	Granma Province
A	Sancti Spíritus Province
A	Pinar del Río
A	Havana
A	Camagüey
A	Ciego de Ávila Province
A	Matanzas Province
A	Holguín Province
A	Villa Clara Province
A	Santiago de Cuba Province
A	Mayabeque
A	Artemisa
A	Cienfuegos Province
A	Guantánamo Province
A	Las Tunas Province
A	Isla de la Juventud
A	Praia
A	São Vicente
A	Sal
A	Ammochostos
A	Limassol
A	Nicosia
A	Pafos
A	Larnaka
A	Keryneia
A	Hradec Králové Region
A	South Moravian
A	Zlín
A	Prague
A	Vysocina
A	Ústí nad Labem Region
A	Pardubice Region
A	Moravian-Silesian Region
A	South Bohemian Region
A	Olomouc Region
A	Carlsbad Region
A	Central Bohemia
A	Plzeň Region
A	Liberec Region
A	Saxony
A	Rheinland-Pfalz
A	North Rhine-Westphalia
A	Brandenburg
A	Bavaria
A	Saxony-Anhalt
A	State of Berlin
A	Lower Saxony
A	Hesse
A	Mecklenburg-Vorpommern
A	Hamburg
A	Baden-Wurttemberg
A	Thuringia
A	Schleswig-Holstein
A	Saarland
A	Bremen
A	Tadjourah
A	Obock
A	Djibouti
A	Dikhil
A	Arta
A	Ali Sabieh
A	Zealand
A	Central Jutland
A	South Denmark
A	Capital Region
A	North Denmark
A	Saint George Parish
A	Nacional
A	Santiago Province
A	San Cristóbal
A	El Seíbo
A	Barahona Province
A	San Pedro de Macorís
A	San Juan Province
A	San José de Ocoa
A	Duarte Province
A	Monte Cristi Province
A	Puerto Plata
A	La Altagracia Province
A	Hermanas Mirabal
A	Santiago Rodríguez
A	Monte Plata Province
A	Baoruco Province
A	María Trinidad Sánchez
